dataset,strategy,trial,seed,aubc,final_accuracy,source
splice,US,4,4,0,0,tabpfn_results_20260104_003947.json
splice,US,3,3,0,0,tabpfn_results_20260104_003947.json
splice,US,2,2,0,0,tabpfn_results_20260104_003947.json
splice,US,1,1,0,0,tabpfn_results_20260104_003947.json
splice,Random,9,9,0,0,tabpfn_results_20260104_003947.json
ionosphere,Random,4,4,0,0,tabpfn_results_20260104_003947.json
splice,Core-Set,0,0,0,0,tabpfn_results_20260104_003947.json
splice,Core-Set,2,2,0,0,tabpfn_results_20260104_003947.json
ionosphere,Random,2,2,0,0,tabpfn_results_20260104_003947.json
ionosphere,Random,1,1,0,0,tabpfn_results_20260104_003947.json
ionosphere,Random,0,0,0,0,tabpfn_results_20260104_003947.json
ionosphere,US,9,9,0,0,tabpfn_results_20260104_003947.json
ionosphere,US,8,8,0,0,tabpfn_results_20260104_003947.json
ionosphere,US,7,7,0,0,tabpfn_results_20260104_003947.json
ionosphere,US,6,6,0,0,tabpfn_results_20260104_003947.json
ionosphere,US,5,5,0,0,tabpfn_results_20260104_003947.json
splice,Core-Set,1,1,0,0,tabpfn_results_20260104_003947.json
ionosphere,US,4,4,0,0,tabpfn_results_20260104_003947.json
ionosphere,US,2,2,0,0,tabpfn_results_20260104_003947.json
ionosphere,US,1,1,0,0,tabpfn_results_20260104_003947.json
ionosphere,US,0,0,0,0,tabpfn_results_20260104_003947.json
splice,Core-Set,9,9,0,0,tabpfn_results_20260104_003947.json
splice,Core-Set,8,8,0,0,tabpfn_results_20260104_003947.json
splice,Core-Set,7,7,0,0,tabpfn_results_20260104_003947.json
splice,Core-Set,6,6,0,0,tabpfn_results_20260104_003947.json
splice,Core-Set,5,5,0,0,tabpfn_results_20260104_003947.json
splice,Core-Set,4,4,0,0,tabpfn_results_20260104_003947.json
ionosphere,US,3,3,0,0,tabpfn_results_20260104_003947.json
splice,US,0,0,0,0,tabpfn_results_20260109_230011.json
