dataset,strategy,labeled_samples,accuracy_mean,accuracy_std,n_trials
pol,Random,122,0.8885940986858418,0.015535418487436968,10
pol,Random,123,0.8891148028762708,0.01521855545034512,10
pol,Random,124,0.8891148028762708,0.01457752437328286,10
pol,Random,125,0.8890156211257129,0.014395691936595048,10
pol,Random,126,0.8888420530622365,0.014872693092961886,10
pol,Random,127,0.8894619390032235,0.013835567832801546,10
pol,Random,128,0.8901066203818498,0.013271569960875921,10
pol,Random,129,0.8905529382593602,0.012962426201574354,10
pol,Random,130,0.8925613687081577,0.013212372770274995,10
pol,Random,131,0.8920902553930077,0.01270458046593415,10
pol,Random,132,0.8923382097694024,0.012810069581783655,10
pol,Random,133,0.8926853458963551,0.01219258901383941,10
pol,Random,134,0.8925365732705183,0.012901148780881395,10
pol,Random,135,0.8928837093974709,0.012608073006498792,10
pol,Random,136,0.8932060500867841,0.012340308433025577,10
pol,Random,137,0.8934540044631788,0.012769610262198893,10
pol,Random,138,0.8949665261591868,0.01211242958575397,10
pol,Random,139,0.8945202082816761,0.01313154558091528,10
pol,Random,140,0.8953880485990577,0.013750207295849574,10
pol,Random,141,0.8955616166625342,0.013452550088536777,10
pol,Random,142,0.8949913215968263,0.012844924877196004,10
pol,Random,143,0.8941234812794446,0.012236882733000562,10
pol,Random,144,0.8940490949665263,0.01311376810977464,10
pol,Random,145,0.8959583436647657,0.011938029761814942,10
pol,Random,146,0.8959831391024051,0.012208518573586137,10
pol,Random,147,0.8967765931068683,0.012139386409548758,10
pol,Random,148,0.8973220927349368,0.011526515667657354,10
pol,Random,149,0.8972477064220185,0.011379037901599552,10
pol,Random,150,0.8985618646169105,0.011168931114062506,10
pol,Random,151,0.8982395239275973,0.011087131751279023,10
pol,Random,152,0.8987602281180264,0.010994228576789004,10
pol,Random,153,0.8988098189933054,0.011197640868190618,10
pol,Random,154,0.8985866600545499,0.010773261774816334,10
pol,Random,155,0.8994297049342921,0.009865136306304038,10
pol,Random,156,0.9002231589387553,0.010087677418956236,10
pol,Random,157,0.900570295065708,0.010942503786055288,10
