dataset,strategy_code,strategy,seed,trial,n_labeled,accuracy,line_type
ionosphere,uniform,Random,0,0,167,0.950354609929078,update
ionosphere,uniform,Random,0,0,168,0.950354609929078,update
ionosphere,uniform,Random,0,0,169,0.950354609929078,update
ionosphere,uniform,Random,0,0,170,0.950354609929078,update
ionosphere,uniform,Random,0,0,171,0.950354609929078,update
ionosphere,uniform,Random,0,0,172,0.9574468085106383,update
ionosphere,uniform,Random,0,0,173,0.9574468085106383,update
ionosphere,uniform,Random,0,0,174,0.9574468085106383,update
ionosphere,uniform,Random,0,0,175,0.9574468085106383,update
ionosphere,uniform,Random,0,0,176,0.9574468085106383,update
ionosphere,uniform,Random,0,0,177,0.9574468085106383,update
ionosphere,uniform,Random,0,0,178,0.9574468085106383,update
ionosphere,uniform,Random,0,0,179,0.9574468085106383,update
ionosphere,uniform,Random,0,0,180,0.9574468085106383,update
ionosphere,uniform,Random,0,0,181,0.9574468085106383,update
ionosphere,uniform,Random,0,0,182,0.9574468085106383,update
ionosphere,uniform,Random,0,0,183,0.9574468085106383,update
ionosphere,uniform,Random,0,0,184,0.9574468085106383,update
ionosphere,uniform,Random,0,0,185,0.9574468085106383,update
ionosphere,uniform,Random,0,0,186,0.9574468085106383,update
ionosphere,uniform,Random,0,0,187,0.9574468085106383,update
ionosphere,uniform,Random,0,0,188,0.9574468085106383,update
ionosphere,uniform,Random,0,0,189,0.9574468085106383,update
ionosphere,uniform,Random,0,0,190,0.9574468085106383,update
ionosphere,uniform,Random,0,0,191,0.9574468085106383,update
ionosphere,uniform,Random,0,0,192,0.9574468085106383,update
ionosphere,uniform,Random,0,0,193,0.9574468085106383,update
ionosphere,uniform,Random,0,0,194,0.9574468085106383,update
ionosphere,uniform,Random,0,0,195,0.9574468085106383,update
ionosphere,uniform,Random,0,0,196,0.9574468085106383,update
ionosphere,uniform,Random,0,0,197,0.9574468085106383,update
ionosphere,uniform,Random,0,0,198,0.9574468085106383,update
ionosphere,uniform,Random,0,0,199,0.9574468085106383,update
ionosphere,uniform,Random,0,0,200,0.9574468085106383,update
ionosphere,uniform,Random,0,0,201,0.9574468085106383,update
ionosphere,uniform,Random,0,0,202,0.9574468085106383,update
ionosphere,uniform,Random,0,0,203,0.9574468085106383,update
ionosphere,uniform,Random,0,0,204,0.9574468085106383,update
ionosphere,uniform,Random,0,0,205,0.9574468085106383,update
ionosphere,uniform,Random,0,0,206,0.9574468085106383,update
ionosphere,uniform,Random,0,0,207,0.9574468085106383,update
ionosphere,uniform,Random,0,0,208,0.9574468085106383,update
ionosphere,uniform,Random,0,0,209,0.9574468085106383,update
ionosphere,uniform,Random,0,0,210,0.9574468085106383,update
ionosphere,uniform,Random,1,1,20,0.6808510638297872,init
ionosphere,uniform,Random,1,1,21,0.6666666666666666,update
ionosphere,uniform,Random,1,1,22,0.6737588652482269,update
ionosphere,uniform,Random,1,1,23,0.7163120567375887,update
ionosphere,uniform,Random,1,1,24,0.7375886524822695,update
ionosphere,uniform,Random,1,1,25,0.7446808510638298,update
ionosphere,uniform,Random,1,1,26,0.75177304964539,update
ionosphere,uniform,Random,1,1,27,0.7588652482269503,update
ionosphere,uniform,Random,1,1,28,0.7872340425531915,update
ionosphere,uniform,Random,1,1,29,0.7801418439716312,update
ionosphere,uniform,Random,1,1,30,0.7801418439716312,update
ionosphere,uniform,Random,1,1,31,0.8014184397163121,update
ionosphere,uniform,Random,1,1,32,0.8014184397163121,update
ionosphere,uniform,Random,1,1,33,0.8014184397163121,update
ionosphere,uniform,Random,1,1,34,0.8156028368794326,update
ionosphere,uniform,Random,1,1,35,0.8226950354609929,update
ionosphere,uniform,Random,1,1,36,0.8439716312056738,update
ionosphere,uniform,Random,1,1,37,0.8865248226950354,update
ionosphere,uniform,Random,1,1,38,0.8723404255319149,update
ionosphere,uniform,Random,1,1,39,0.8794326241134752,update
ionosphere,uniform,Random,1,1,40,0.8865248226950354,update
ionosphere,uniform,Random,1,1,41,0.8865248226950354,update
ionosphere,uniform,Random,1,1,42,0.8865248226950354,update
ionosphere,uniform,Random,1,1,43,0.8865248226950354,update
ionosphere,uniform,Random,1,1,44,0.8652482269503546,update
ionosphere,uniform,Random,1,1,45,0.8581560283687943,update
ionosphere,uniform,Random,1,1,46,0.8581560283687943,update
ionosphere,uniform,Random,1,1,47,0.8581560283687943,update
ionosphere,uniform,Random,1,1,48,0.8794326241134752,update
ionosphere,uniform,Random,1,1,49,0.8794326241134752,update
ionosphere,uniform,Random,1,1,50,0.8865248226950354,update
ionosphere,uniform,Random,1,1,51,0.8865248226950354,update
ionosphere,uniform,Random,1,1,52,0.8865248226950354,update
ionosphere,uniform,Random,1,1,53,0.8794326241134752,update
ionosphere,uniform,Random,1,1,54,0.8865248226950354,update
ionosphere,uniform,Random,1,1,55,0.900709219858156,update
ionosphere,uniform,Random,1,1,56,0.900709219858156,update
ionosphere,uniform,Random,1,1,57,0.900709219858156,update
ionosphere,uniform,Random,1,1,58,0.900709219858156,update
ionosphere,uniform,Random,1,1,59,0.900709219858156,update
ionosphere,uniform,Random,1,1,60,0.900709219858156,update
ionosphere,uniform,Random,1,1,61,0.900709219858156,update
ionosphere,uniform,Random,1,1,62,0.900709219858156,update
ionosphere,uniform,Random,1,1,63,0.9148936170212766,update
ionosphere,uniform,Random,1,1,64,0.9078014184397163,update
ionosphere,uniform,Random,1,1,65,0.9078014184397163,update
ionosphere,uniform,Random,1,1,66,0.9078014184397163,update
ionosphere,uniform,Random,1,1,67,0.9148936170212766,update
ionosphere,uniform,Random,1,1,68,0.9148936170212766,update
ionosphere,uniform,Random,1,1,69,0.9219858156028369,update
ionosphere,uniform,Random,1,1,70,0.9219858156028369,update
ionosphere,uniform,Random,1,1,71,0.9219858156028369,update
ionosphere,uniform,Random,1,1,72,0.9361702127659575,update
ionosphere,uniform,Random,1,1,73,0.9290780141843972,update
ionosphere,uniform,Random,1,1,74,0.9290780141843972,update
ionosphere,uniform,Random,1,1,75,0.9290780141843972,update
