trial,train_aubc,AUBC,dataset,strategy_code,strategy
9,0.8183540630182423,0.7630659203980101,splice,google_us_margin,Uncertainty Sampling (US)
0,0.8324917081260365,0.7829477611940299,splice,google_us_margin,Uncertainty Sampling (US)
1,0.8277280265339967,0.8040111940298507,splice,google_us_margin,Uncertainty Sampling (US)
2,0.8316086235489222,0.747108208955224,splice,google_us_margin,Uncertainty Sampling (US)
3,0.8072305140961857,0.7907276119402984,splice,google_us_margin,Uncertainty Sampling (US)
4,0.8397097844112771,0.7549875621890547,splice,google_us_margin,Uncertainty Sampling (US)
5,0.8571268656716416,0.7740422885572138,splice,google_us_margin,Uncertainty Sampling (US)
6,0.8460862354892205,0.763700248756219,splice,google_us_margin,Uncertainty Sampling (US)
7,0.8123051409618572,0.744931592039801,splice,google_us_margin,Uncertainty Sampling (US)
8,0.8073631840796022,0.7793967661691542,splice,google_us_margin,Uncertainty Sampling (US)
9,0.8257711442786069,0.7789800995024878,splice,google_us_margin,Uncertainty Sampling (US)
0,0.9709299426576912,0.9368942853960124,ionosphere,google_us_margin,Uncertainty Sampling (US)
1,0.9732859636000998,0.9330511306672608,ionosphere,google_us_margin,Uncertainty Sampling (US)
2,0.9702692595362752,0.9316586833017714,ionosphere,google_us_margin,Uncertainty Sampling (US)
3,0.974420344053852,0.953585087817014,ionosphere,google_us_margin,Uncertainty Sampling (US)
4,0.9799052605335328,0.9146893914076716,ionosphere,google_us_margin,Uncertainty Sampling (US)
5,0.9826227873348292,0.946251531692102,ionosphere,google_us_margin,Uncertainty Sampling (US)
6,0.974931438544004,0.9196279380639412,ionosphere,google_us_margin,Uncertainty Sampling (US)
7,0.981027175268013,0.9138910549181242,ionosphere,google_us_margin,Uncertainty Sampling (US)
8,0.9714036399900275,0.9653559095466192,ionosphere,google_us_margin,Uncertainty Sampling (US)
9,0.9762403390675642,0.932104266458728,ionosphere,google_us_margin,Uncertainty Sampling (US)
